games,KIA,삼성,LG,두산,KT,SSG,롯데,한화,NC,키움
41,0.610,0.575,0.538,0.537,0.425,0.525,0.350,0.400,0.575,0.415
42,0.619,0.561,0.550,0.548,0.415,0.537,0.366,0.390,0.585,0.429
43,0.619,0.571,0.561,0.558,0.429,0.548,0.357,0.381,0.595,0.419
44,0.628,0.581,0.548,0.568,0.419,0.535,0.357,0.372,0.581,0.409
45,0.636,0.591,0.535,0.556,0.409,0.545,0.372,0.364,0.568,0.422
46,0.644,0.578,0.545,0.556,0.400,0.556,0.386,0.378,0.556,0.413
47,0.630,0.565,0.556,0.543,0.413,0.543,0.400,0.391,0.565,0.404
48,0.617,0.574,0.543,0.553,0.426,0.532,0.391,0.404,0.574,0.417
49,0.604,0.562,0.532,0.553,0.417,0.521,0.404,0.396,0.562,0.408
50,0.592,0.571,0.521,0.562,0.429,0.510,0.417,0.408,0.551,0.400
51,0.600,0.560,0.531,0.571,0.440,0.500,0.408,0.420,0.540,0.412
52,0.608,0.549,0.540,0.580,0.451,0.490,0.400,0.431,0.529,0.423
53,0.615,0.538,0.549,0.588,0.462,0.481,0.392,0.442,0.519,0.415
54,0.623,0.528,0.558,0.577,0.453,0.472,0.404,0.453,0.509,0.407
55,0.630,0.537,0.566,0.566,0.444,0.481,0.396,0.444,0.500,0.400
56,0.618,0.545,0.574,0.556,0.455,0.491,0.407,0.436,0.491,0.393
57,0.625,0.554,0.564,0.564,0.446,0.500,0.418,0.429,0.500,0.404
58,0.614,0.561,0.571,0.571,0.456,0.509,0.429,0.439,0.491,0.397
59,0.603,0.569,0.579,0.561,0.448,0.500,0.421,0.448,0.483,0.390
60,0.593,0.559,0.586,0.552,0.441,0.508,0.431,0.458,0.475,0.400
61,0.600,0.550,0.576,0.542,0.433,0.517,0.424,0.450,0.467,0.410
62,0.590,0.541,0.583,0.550,0.426,0.508,0.433,0.443,0.475,0.403
63,0.581,0.532,0.590,0.557,0.419,0.500,0.426,0.443,0.484,0.413
64,0.587,0.540,0.597,0.565,0.429,0.508,0.435,0.452,0.484,0.406
65,0.578,0.547,0.603,0.571,0.422,0.516,0.444,0.460,0.492,0.400
66,0.585,0.554,0.594,0.578,0.431,0.508,0.438,0.453,0.484,0.394
67,0.576,0.561,0.585,0.569,0.424,0.515,0.446,0.446,0.492,0.388
68,0.582,0.567,0.576,0.561,0.418,0.522,0.439,0.439,0.485,0.397
69,0.588,0.559,0.567,0.552,0.412,0.529,0.433,0.448,0.493,0.391
70,0.594,0.551,0.574,0.559,0.406,0.522,0.441,0.456,0.500,0.386
71,0.600,0.543,0.565,0.565,0.414,0.529,0.435,0.464,0.493,0.394
72,0.592,0.549,0.571,0.571,0.408,0.521,0.429,0.457,0.500,0.403
73,0.597,0.556,0.563,0.563,0.417,0.514,0.437,0.451,0.493,0.397
74,0.603,0.562,0.569,0.569,0.425,0.507,0.444,0.444,0.500,0.392
75,0.595,0.568,0.562,0.562,0.419,0.514,0.444,0.452,0.493,0.400
76,0.600,0.573,0.554,0.568,0.427,0.507,0.452,0.459,0.500,0.408
77,0.600,0.566,0.547,0.560,0.434,0.500,0.459,0.453,0.493,0.416
78,0.592,0.558,0.553,0.553,0.429,0.506,0.467,0.461,0.487,0.423
79,0.584,0.564,0.558,0.545,0.436,0.500,0.461,0.455,0.481,0.430
80,0.577,0.557,0.564,0.538,0.443,0.494,0.455,0.449,0.487,0.438
81,0.582,0.550,0.557,0.544,0.443,0.500,0.449,0.443,0.481,0.432
82,0.588,0.550,0.550,0.537,0.450,0.506,0.456,0.450,0.487,0.439
83,0.593,0.543,0.556,0.543,0.457,0.500,0.450,0.444,0.494,0.434
84,0.598,0.537,0.549,0.537,0.463,0.494,0.444,0.451,0.488,0.440
85,0.602,0.530,0.542,0.530,0.458,0.500,0.439,0.446,0.482,0.435
86,0.607,0.536,0.548,0.536,0.464,0.494,0.446,0.452,0.488,0.430
87,0.600,0.541,0.541,0.541,0.459,0.500,0.452,0.447,0.494,0.425
88,0.593,0.547,0.535,0.535,0.465,0.506,0.447,0.442,0.500,0.420
89,0.598,0.540,0.529,0.540,0.471,0.511,0.453,0.437,0.506,0.416
90,0.602,0.545,0.523,0.534,0.477,0.506,0.448,0.432,0.500,0.411
91,0.607,0.539,0.528,0.539,0.483,0.500,0.443,0.427,0.506,0.418
92,0.611,0.533,0.533,0.533,0.489,0.505,0.438,0.422,0.500,0.413
93,0.615,0.527,0.538,0.527,0.495,0.500,0.433,0.418,0.495,0.409
94,0.620,0.533,0.543,0.522,0.489,0.495,0.429,0.424,0.500,0.415
95,0.624,0.538,0.548,0.527,0.495,0.489,0.435,0.430,0.505,0.421
96,0.628,0.532,0.553,0.521,0.500,0.495,0.441,0.436,0.500,0.427
97,0.621,0.526,0.558,0.516,0.505,0.500,0.436,0.442,0.495,0.423
98,0.615,0.521,0.552,0.521,0.500,0.505,0.432,0.448,0.490,0.429
99,0.608,0.526,0.546,0.526,0.505,0.510,0.438,0.454,0.495,0.424
100,0.612,0.520,0.551,0.520,0.500,0.515,0.443,0.459,0.490,0.430
101,0.606,0.525,0.545,0.515,0.495,0.510,0.449,0.455,0.485,0.436
102,0.600,0.520,0.540,0.510,0.490,0.505,0.455,0.460,0.490,0.441
103,0.594,0.525,0.535,0.505,0.495,0.500,0.450,0.455,0.485,0.437
104,0.588,0.529,0.529,0.510,0.490,0.495,0.455,0.461,0.480,0.433
105,0.592,0.534,0.534,0.515,0.485,0.500,0.461,0.466,0.476,0.438
106,0.596,0.538,0.538,0.519,0.490,0.505,0.466,0.462,0.471,0.434
107,0.590,0.533,0.543,0.514,0.495,0.500,0.462,0.457,0.467,0.439
108,0.585,0.538,0.547,0.509,0.500,0.495,0.467,0.453,0.462,0.444
109,0.589,0.533,0.551,0.514,0.495,0.491,0.462,0.458,0.458,0.440
110,0.583,0.528,0.546,0.519,0.491,0.495,0.467,0.454,0.454,0.445
111,0.587,0.532,0.550,0.514,0.486,0.500,0.463,0.459,0.450,0.441
112,0.582,0.536,0.545,0.518,0.482,0.505,0.459,0.464,0.445,0.438
113,0.586,0.541,0.541,0.523,0.486,0.500,0.455,0.468,0.441,0.442
114,0.589,0.536,0.536,0.518,0.482,0.496,0.459,0.473,0.446,0.439
115,0.593,0.540,0.540,0.513,0.478,0.491,0.455,0.469,0.451,0.443
116,0.596,0.544,0.535,0.518,0.482,0.487,0.460,0.474,0.447,0.440
117,0.600,0.548,0.539,0.522,0.478,0.491,0.456,0.478,0.452,0.436
118,0.603,0.552,0.534,0.526,0.483,0.487,0.461,0.483,0.448,0.441
119,0.598,0.547,0.538,0.521,0.487,0.483,0.466,0.479,0.444,0.437
120,0.602,0.551,0.534,0.517,0.492,0.479,0.470,0.483,0.449,0.442
121,0.597,0.546,0.538,0.521,0.496,0.483,0.475,0.479,0.454,0.438
122,0.600,0.550,0.533,0.517,0.492,0.479,0.471,0.475,0.458,0.434
123,0.603,0.554,0.529,0.512,0.488,0.475,0.475,0.479,0.463,0.431
124,0.598,0.557,0.533,0.508,0.492,0.480,0.471,0.484,0.467,0.427
125,0.602,0.561,0.528,0.512,0.496,0.476,0.467,0.480,0.463,0.424
126,0.605,0.556,0.532,0.516,0.492,0.472,0.467,0.484,0.460,0.421
127,0.608,0.552,0.528,0.512,0.496,0.468,0.463,0.480,0.464,0.425
128,0.603,0.556,0.524,0.508,0.492,0.472,0.468,0.476,0.460,0.422
129,0.606,0.559,0.528,0.504,0.496,0.472,0.472,0.472,0.457,0.419
130,0.609,0.562,0.531,0.500,0.500,0.477,0.468,0.469,0.453,0.415
131,0.612,0.558,0.527,0.496,0.496,0.481,0.465,0.465,0.450,0.420
132,0.615,0.562,0.523,0.500,0.500,0.477,0.469,0.469,0.446,0.424
133,0.618,0.565,0.527,0.496,0.504,0.481,0.473,0.466,0.450,0.421
134,0.621,0.568,0.523,0.500,0.508,0.485,0.477,0.462,0.447,0.425
135,0.617,0.564,0.519,0.504,0.504,0.489,0.473,0.466,0.451,0.422
136,0.619,0.560,0.522,0.507,0.500,0.493,0.470,0.463,0.448,0.419
137,0.615,0.556,0.526,0.511,0.504,0.496,0.466,0.467,0.444,0.416
138,0.610,0.559,0.522,0.515,0.500,0.500,0.470,0.471,0.441,0.413
139,0.613,0.555,0.526,0.511,0.504,0.496,0.467,0.467,0.438,0.417
140,0.616,0.558,0.529,0.507,0.500,0.493,0.471,0.464,0.435,0.414
141,0.612,0.554,0.532,0.511,0.496,0.496,0.467,0.468,0.432,0.411
142,0.607,0.550,0.529,0.514,0.500,0.500,0.471,0.471,0.436,0.408
143,0.610,0.553,0.532,0.518,0.504,0.504,0.468,0.468,0.433,0.406
144,0.613,0.549,0.535,0.521,0.507,0.507,0.471,0.465,0.430,0.403
