games,LG,KT,SSG,NC,두산,KIA,롯데,삼성,한화,키움
56,0.611,0.407,0.636,0.554,0.527,0.464,0.554,0.446,0.396,0.400
57,0.600,0.400,0.625,0.561,0.518,0.474,0.544,0.439,0.389,0.411
58,0.589,0.411,0.632,0.569,0.509,0.466,0.534,0.431,0.382,0.404
59,0.596,0.421,0.621,0.559,0.500,0.466,0.525,0.424,0.393,0.414
60,0.603,0.431,0.610,0.567,0.508,0.475,0.533,0.417,0.404,0.424
61,0.610,0.441,0.617,0.567,0.500,0.467,0.525,0.410,0.404,0.433
62,0.617,0.433,0.623,0.574,0.492,0.459,0.516,0.419,0.397,0.443
63,0.623,0.443,0.613,0.565,0.484,0.452,0.508,0.413,0.390,0.435
64,0.613,0.452,0.619,0.556,0.476,0.460,0.516,0.406,0.383,0.435
65,0.619,0.460,0.625,0.547,0.484,0.453,0.508,0.400,0.393,0.444
66,0.609,0.469,0.631,0.538,0.477,0.446,0.500,0.394,0.403,0.453
67,0.615,0.462,0.636,0.530,0.485,0.439,0.507,0.388,0.413,0.462
68,0.621,0.455,0.642,0.537,0.493,0.448,0.515,0.397,0.422,0.470
69,0.612,0.448,0.632,0.529,0.485,0.441,0.522,0.391,0.431,0.478
70,0.618,0.456,0.623,0.522,0.478,0.449,0.514,0.386,0.439,0.471
71,0.623,0.464,0.614,0.514,0.486,0.457,0.507,0.380,0.448,0.478
72,0.629,0.471,0.620,0.507,0.493,0.465,0.500,0.375,0.456,0.471
73,0.634,0.479,0.611,0.500,0.500,0.472,0.507,0.384,0.449,0.479
74,0.639,0.472,0.616,0.507,0.507,0.479,0.500,0.378,0.457,0.486
75,0.630,0.466,0.608,0.500,0.514,0.486,0.507,0.373,0.451,0.479
76,0.635,0.459,0.600,0.493,0.520,0.480,0.500,0.368,0.444,0.486
77,0.627,0.453,0.605,0.500,0.526,0.474,0.494,0.377,0.452,0.480
78,0.632,0.461,0.597,0.506,0.532,0.468,0.500,0.385,0.459,0.487
79,0.636,0.468,0.590,0.513,0.538,0.474,0.494,0.380,0.453,0.494
80,0.628,0.474,0.595,0.519,0.544,0.468,0.487,0.388,0.447,0.487
81,0.620,0.481,0.588,0.525,0.550,0.475,0.481,0.383,0.455,0.481
82,0.613,0.475,0.593,0.519,0.543,0.481,0.488,0.390,0.462,0.475
83,0.605,0.481,0.585,0.524,0.537,0.488,0.494,0.386,0.456,0.469
84,0.598,0.488,0.578,0.518,0.530,0.494,0.488,0.393,0.463,0.463
85,0.602,0.494,0.583,0.512,0.524,0.488,0.482,0.388,0.457,0.458
86,0.607,0.488,0.588,0.506,0.518,0.494,0.477,0.395,0.451,0.452
87,0.612,0.494,0.581,0.512,0.523,0.500,0.471,0.395,0.446,0.447
88,0.616,0.500,0.575,0.506,0.529,0.506,0.477,0.402,0.440,0.453
89,0.621,0.506,0.568,0.511,0.523,0.506,0.472,0.409,0.447,0.460
90,0.625,0.511,0.573,0.517,0.517,0.500,0.467,0.404,0.442,0.455
91,0.629,0.517,0.578,0.522,0.522,0.494,0.462,0.411,0.437,0.449
92,0.622,0.522,0.571,0.527,0.516,0.500,0.467,0.407,0.437,0.456
93,0.615,0.527,0.565,0.533,0.522,0.495,0.473,0.413,0.432,0.456
94,0.620,0.522,0.570,0.527,0.516,0.489,0.468,0.419,0.427,0.451
95,0.624,0.527,0.564,0.532,0.521,0.495,0.474,0.415,0.422,0.446
96,0.628,0.532,0.568,0.526,0.516,0.500,0.479,0.411,0.429,0.441
97,0.632,0.537,0.573,0.521,0.510,0.495,0.474,0.417,0.435,0.436
98,0.635,0.531,0.567,0.521,0.505,0.500,0.480,0.423,0.435,0.432
99,0.629,0.536,0.561,0.515,0.500,0.495,0.485,0.418,0.441,0.427
100,0.633,0.541,0.556,0.520,0.495,0.490,0.490,0.414,0.436,0.423
101,0.626,0.545,0.550,0.515,0.500,0.495,0.495,0.420,0.442,0.418
102,0.630,0.550,0.545,0.520,0.495,0.500,0.490,0.416,0.438,0.414
103,0.634,0.554,0.549,0.515,0.500,0.505,0.485,0.422,0.433,0.420
104,0.627,0.549,0.553,0.520,0.505,0.510,0.481,0.427,0.429,0.416
105,0.631,0.553,0.548,0.524,0.510,0.515,0.476,0.423,0.424,0.412
106,0.625,0.558,0.552,0.529,0.514,0.519,0.472,0.429,0.420,0.408
107,0.619,0.562,0.557,0.524,0.509,0.524,0.467,0.434,0.416,0.404
108,0.613,0.557,0.561,0.528,0.505,0.528,0.463,0.430,0.412,0.410
109,0.617,0.561,0.556,0.533,0.500,0.533,0.468,0.435,0.408,0.406
110,0.620,0.565,0.550,0.528,0.505,0.528,0.464,0.440,0.413,0.402
111,0.615,0.569,0.545,0.532,0.500,0.523,0.468,0.436,0.419,0.407
112,0.609,0.573,0.541,0.536,0.495,0.527,0.473,0.432,0.415,0.413
113,0.613,0.568,0.545,0.541,0.500,0.532,0.469,0.429,0.421,0.418
114,0.607,0.562,0.540,0.545,0.504,0.536,0.474,0.434,0.426,0.414
115,0.611,0.558,0.535,0.549,0.500,0.531,0.470,0.430,0.431,0.411
116,0.614,0.553,0.530,0.544,0.504,0.526,0.466,0.435,0.436,0.407
117,0.609,0.557,0.530,0.548,0.509,0.522,0.470,0.431,0.441,0.412
118,0.603,0.552,0.534,0.552,0.513,0.517,0.466,0.427,0.446,0.409
119,0.598,0.556,0.530,0.547,0.517,0.513,0.462,0.432,0.442,0.405
120,0.602,0.556,0.525,0.551,0.521,0.508,0.467,0.429,0.439,0.402
121,0.605,0.551,0.521,0.555,0.525,0.504,0.471,0.425,0.435,0.407
122,0.608,0.555,0.517,0.550,0.529,0.508,0.475,0.430,0.431,0.412
123,0.612,0.558,0.512,0.554,0.525,0.504,0.472,0.434,0.436,0.417
124,0.615,0.554,0.516,0.549,0.528,0.500,0.468,0.431,0.432,0.421
125,0.618,0.557,0.512,0.553,0.532,0.504,0.472,0.427,0.437,0.418
126,0.613,0.561,0.508,0.548,0.536,0.500,0.468,0.424,0.433,0.415
127,0.616,0.556,0.512,0.552,0.532,0.504,0.472,0.421,0.430,0.411
128,0.619,0.560,0.508,0.548,0.532,0.500,0.477,0.417,0.426,0.408
129,0.622,0.563,0.508,0.551,0.528,0.504,0.481,0.422,0.423,0.405
130,0.625,0.559,0.512,0.547,0.531,0.500,0.485,0.419,0.427,0.402
131,0.620,0.562,0.508,0.543,0.535,0.496,0.481,0.423,0.424,0.398
132,0.615,0.566,0.512,0.538,0.531,0.500,0.477,0.427,0.421,0.395
133,0.611,0.562,0.515,0.534,0.534,0.496,0.481,0.424,0.425,0.400
134,0.614,0.557,0.519,0.530,0.530,0.500,0.478,0.429,0.430,0.405
135,0.617,0.561,0.523,0.526,0.526,0.496,0.474,0.433,0.434,0.409
136,0.619,0.556,0.526,0.530,0.530,0.500,0.478,0.430,0.431,0.414
137,0.622,0.552,0.530,0.526,0.526,0.504,0.474,0.426,0.427,0.410
138,0.618,0.548,0.526,0.529,0.522,0.507,0.478,0.431,0.424,0.407
139,0.613,0.551,0.529,0.533,0.526,0.504,0.475,0.435,0.421,0.404
140,0.609,0.555,0.533,0.529,0.529,0.507,0.479,0.432,0.418,0.409
141,0.612,0.551,0.536,0.532,0.532,0.511,0.475,0.429,0.415,0.413
142,0.607,0.554,0.532,0.536,0.529,0.507,0.472,0.426,0.419,0.417
143,0.603,0.557,0.536,0.532,0.525,0.511,0.469,0.430,0.423,0.414
144,0.606,0.560,0.539,0.528,0.521,0.514,0.472,0.427,0.420,0.411
